Name,SIC,BVD
AAVANTIKA GAS LIMITED,4922.0,IN0000406739
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI
ADANI HARBOUR SERVICES LIMITED,4412.0,IN0000378878
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169
ADANI LOGISTICS LIMITED,4789.0,IN0000257167
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057
ADOR WELDING LIMITED,3548.0,IN30788FI
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657
AFFLE (INDIA) LTD,7319.0,IN001037176IND
AFFORDABLE ROBOTIC & AUTOMATION LIMITED,3711.0,IN897186FI
AGI INFRA LIMITED,1541.0,IN114098FI
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152
AICHELIN UNITHERM HEAT TREATMENT SYSTEMS INDIA PRIVATE LIMITED,3694.0,IN0000672939
AIR INDIA SATS AIRPORT SERVICES PRIVATE LIMITED,7389.0,IN0000570117
AKRY ORGANICS PVT LTD,2869.0,IN0001060236
ALF ENGINEERING PRIVATE LIMITED,3499.0,IN0001209746
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694
ALP AEROFLEX INDIA PRIVATE LIMITED,3069.0,IN0000750234
ALP OVERSEAS PRIVATE LIMITED,7389.0,IN0000724278
ALTUM CREDO HOME FINANCE PRIVATE LIMITED,6159.0,IN0016259413
ALUFLUORIDE LIMITED,3355.0,IN31219FI
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827
AMBUJ HOTEL AND REAL ESTATE PRIVATE LIMITED,7011.0,IN0000787223
AMBUJA NEOTIA HOTEL VENTURES LIMITED,7011.0,IN0000267977
AMRAPALI JEWELS PRIVATE LIMITED,3911.0,IN0000855797
ANANT RAJ LIMITED,6531.0,IN31281FI
ANGEL ONE LIMITED,6211.0,IN001577512IND
ANUNTA TECHNOLOGY MANAGEMENT SERVICES LIMITED,7375.0,IN0011553693
APAR INDUSTRIES LIMITED,3531.0,IN31340FI
APOLLO MULTISPECIALITY HOSPITALS LIMITED,3841.0,IN0000235143
APOLLO SINDOORI HOTELS LIMITED,5499.0,IN113688FI
ARCVAC FORGE CAST PRIVATE LIMITED,3312.0,IN0001093156
ARMSTRONG INTERNATIONAL PRIVATE LIMITED,3612.0,IN0001079495
ARTEMIS MEDICARE SERVICES LIMITED,8062.0,IN116985FI
ARTHMATE FINANCING INDIA PRIVATE LIMITED,2999.0,IN0010927145
ASIATECH COATINGS PRIVATE LIMITED,7389.0,IN0014858647
ASKA EQUIPMENTS PRIVATE LIMITED (TRANSFERED FROM MAHARASHTRA),3545.0,IN0010205782
ASTRAL LIMITED,3089.0,IN33211FI
AUMA INDIA PRIVATE LIMITED,7389.0,IN0001262622
AURANGABAD DISTILLERY LIMITED,2869.0,IN117192FI
AURIONPRO SOLUTIONS LIMITED,7379.0,IN31457FI
AUTORIDERS INTERNATIONAL LIMITED,7514.0,IN31064FI
AVANTEL LIMITED,4899.0,IN31071FI
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND
AXLES INDIA LIMITED,3339.0,IN0001378765
BALAVIGNA WEAVING MILLS PRIVATE LIMITED,2281.0,IN0001413536
BAYER PHARMACEUTICALS PRIVATE LIMITED,2834.0,IN0001534074
BEAUTY CONCEPTS PRIVATE LIMITED,5199.0,IN0001544796
BENARES HOTELS LIMITED,7011.0,IN30422FI
BETA DRUGS LIMITED,2834.0,IN117718FI
BF UTILITIES LIMITED,4911.0,IN33070FI
BFN FORGINGS PRIVATE LIMITED,3499.0,IN0001550913
BHARAT FORGE LIMITED,3463.0,IN30031FI
BIHAR FOUNDRY & CASTINGS LIMITED,3312.0,IN0000239537
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983
BLACK DIAMOND MOTORS PRIVATE LIMITED,3711.0,IN0001832859
BOSTON SCIENTIFIC TECHNOLOGY & ENGINEERING SERVICES PRIVATE LIMITED,8731.0,IN0014817679
BRAND CONCEPTS LIMITED,3199.0,IN621244FI
BROOKS BROTHERS INDIA PRIVATE LIMITED,7389.0,IN0003734397
BSS MICROFINANCE LIMITED,7389.0,IN0001842356
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652
CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,6159.0,IN0000260179
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959
CARYSIL LIMITED,3469.0,IN31030FI
CELEBI NAS AIRPORT SERVICES INDIA PRIVATE LIMITED,4581.0,IN0001948625
CELESTICA (INDIA) PRIVATE LIMITED,3694.0,IN0001950587
CENTURY PLYBOARDS (INDIA) LIMITED,2436.0,IN30257FI
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,3613.0,IN30083FI
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123
CHEEMA BOILERS LIMITED,3559.0,IN0002044597
