,Name,Industry
0,ADANI SOLAR ENERGY JODHPUR FIVE LIMITED,Services
1,ADVANCE METAL POWDER PRIVATE LIMITED,Wholesale Trade
2,AGRANI FOODS AND AGRO CORPORATION PRIVATE LIMITED,Manufacturing
3,ALPHA ALTERNATIVES FINANCIAL SERVICES PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
4,AMBICON VENTURES PRIVATE LIMITED,Wholesale Trade
5,ANRICK ELECTRONICS INDIA PRIVATE LIMITED,Services
6,ASHDAN DEVELOPERS PRIVATE LIMITED,"Finance, Insurance, and Real Estate"
7,ASHOKA KARADI BANWARA ROAD PRIVATE LIMITED,Construction
8,ASHOKA MALLASANDRA KARADI ROAD PRIVATE LIMITED,Construction
9,AUREATE TRADDE PRIVATE LIMITED,Services
10,B R GRAINS PRIVATE LIMITED,Manufacturing
11,BAAZAR RETAIL PRIVATE LIMITED,Services
12,BALAJI SPECIALITY CHEMICALS LIMITED,Manufacturing
13,BALINEE MILK PRODUCER COMPANY LIMITED,Services
14,BHAGYANAGAR COPPER PRIVATE LIMITED,Mining
15,BHALOTHIA FOODS PRIVATE LIMITED,Manufacturing
16,BIO MINING INDIA PRIVATE LIMITED,Services
17,BOOGOOK INDUSTRIES INDIA PRIVATE LIMITED,Services
18,COATALL FILMS PRIVATE LIMITED,Manufacturing
19,D.D. STEEL & POWER LIMITED,Manufacturing
20,DAEHEUNG INDIA AUTO-PARTS PRIVATE LIMITED,Manufacturing
21,DAUJI ISPAT PRIVATE LIMITED,Manufacturing
22,DHD INFRACON PRIVATE LIMITED,Construction
23,DILIP MOTORS PRIVATE LIMITED,Services
24,DIVIJA COMMERCIAL PROPERTIES PRIVATE LIMITED,Construction
25,ELECTRO SOLAIRE PRIVATE LIMITED,Services
26,FLOMIC GLOBAL LOGISTICS LIMITED,Services
27,GIRJAI INFRASTRUCTURES PRIVATE LIMITED,Construction
28,GLOBALYDK ELECTRIC PRIVATE LIMITED,Manufacturing
29,GNANABELLA MARKETTING PRIVATE LIMITED,Services
30,GODIL SYNTHETICS PRIVATE LIMITED,Services
31,GPS AUTOMOBILES PRIVATE LIMITED,Manufacturing
32,HI-LEX DOOR INDIA PRIVATE LIMITED,Manufacturing
33,HINDUSTAN CONCRETE SOLUTION INDIA PRIVATE LIMITED,Construction
34,HYOSUNG INDIA PRIVATE LIMITED,Manufacturing
35,IRCON VADODARA KIM EXPRESSWAY LIMITED,Services
36,JAYALAKSHMI AUTO ENTERPRISES PRIVATE LIMITED,Wholesale Trade
37,JAYATI AGRENUTRITION PRIVATE LIMITED,Manufacturing
38,KASHIV BIOSCIENCES PRIVATE LIMITED,Services
39,KELVIN NATURAL MINT PRIVATE LIMITED,Manufacturing
40,KEYWEST REALTY PRIVATE LIMITED,Construction
41,KRISHIV AUTO AGENCIES PRIVATE LIMITED,Wholesale Trade
42,KSH AUTOMOTIVE PRIVATE LIMITED,Manufacturing
43,LIVERBIRD INTERNATIONAL PRIVATE LIMITED,Services
44,MG CARS PRIVATE LIMITED,Wholesale Trade
45,MORE CONSUMER BRANDS PRIVATE LIMITED,Services
46,MUKUL GUPTA MARKETING PRIVATE LIMITED,Services
47,NAMINATH MOTORS PRIVATE LIMITED,Retail Trade
48,NANAVATI AUTOSQUARE PRIVATE LIMITED,Retail Trade
49,OLON ACTIVE PHARMACEUTICAL INGREDIENTS INDIA PRIVATE LIMITED,Manufacturing
50,ONE BKC REALTORS PRIVATE LIMITED,Services
51,OSTRO KUTCH WIND PRIVATE LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
52,PELISWAN IMPEX PRIVATE LIMITED,Services
53,PIRAMAL NATURAL RESOURCES PRIVATE LIMITED,Services
54,PRASHAST FOOD PRODUCTS PRIVATE LIMITED,Retail Trade
55,PRECISION METALIKS LIMITED,Manufacturing
56,PREPAY PAYMENT SERVICES PRIVATE LIMITED,Services
57,PRINT SALES PRIVATE LIMITED,Manufacturing
58,PROFFER IT CONSULTANCY PRIVATE LIMITED,Services
59,RAIPUR-RAJNANDGAON-WARORA TRANSMISSION LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
60,RANGA PARTICLE BOARD INDUSTRIES PRIVATE LIMITED,Manufacturing
61,RE SUSTAINABILITY AND RECYCLING PRIVATE LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
62,RENASCENT POWER VENTURES PRIVATE LIMITED,"Transportation, Communications, Electric, Gas, and Sanitary Services"
63,RION REFOIL PRIVATE LIMITED,Manufacturing
64,ROYALS MARINE FOOD PRIVATE LIMITED,Public Administration
65,SANJIV SARITA CONSULTING PRIVATE LIMITED,Services
66,SEE-SAW IRON AND STEEL PRIVATE LIMITED,Services
67,SELMAR LAB PRIVATE LIMITED,Manufacturing
68,SENATECH INDIA PRIVATE LIMITED,Services
69,SHIVAM DEV INFRACON PRIVATE LIMITED,Construction
70,SHUKLAMBARA PAPERS PRIVATE LIMITED,Manufacturing
71,SKS GLOCHEM (I) PRIVATE LIMITED,Services
72,STRATA SOLAR PRIVATE LIMITED,Manufacturing
73,SUPERNOVA AUTOMOBILES PRIVATE LIMITED,Wholesale Trade
74,VASUDHA SWARAJ PRIVATE LIMITED,Unknown
75,VIABLE RECOMMERCE INDIA PRIVATE LIMITED,Services
76,WALTAIR COAL PRIVATE LIMITED,Wholesale Trade
77,WORKDAY INDIA PRIVATE LIMITED,Services
78,YANJAN NEW MATERIAL INDIA PRIVATE LIMITED,Manufacturing
