Name,SIC,BVD,Industry
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade
AGI INFRA LIMITED,1541.0,IN114098FI,Construction
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing
AICHELIN UNITHERM HEAT TREATMENT SYSTEMS INDIA PRIVATE LIMITED,3694.0,IN0000672939,Manufacturing
AIR INDIA SATS AIRPORT SERVICES PRIVATE LIMITED,7389.0,IN0000570117,Services
ALF ENGINEERING PRIVATE LIMITED,3499.0,IN0001209746,Manufacturing
ALP AEROFLEX INDIA PRIVATE LIMITED,3069.0,IN0000750234,Manufacturing
ALP OVERSEAS PRIVATE LIMITED,7389.0,IN0000724278,Services
ALTUM CREDO HOME FINANCE PRIVATE LIMITED,6159.0,IN0016259413,"Finance, Insurance, and Real Estate"
AMBUJ HOTEL AND REAL ESTATE PRIVATE LIMITED,7011.0,IN0000787223,Services
AMBUJA NEOTIA HOTEL VENTURES LIMITED,7011.0,IN0000267977,Services
AMRAPALI JEWELS PRIVATE LIMITED,3911.0,IN0000855797,Manufacturing
ANANT RAJ LIMITED,6531.0,IN31281FI,"Finance, Insurance, and Real Estate"
ANGEL ONE LIMITED,6211.0,IN001577512IND,"Finance, Insurance, and Real Estate"
ANUNTA TECHNOLOGY MANAGEMENT SERVICES LIMITED,7375.0,IN0011553693,Services
APAR INDUSTRIES LIMITED,3531.0,IN31340FI,Manufacturing
APOLLO MULTISPECIALITY HOSPITALS LIMITED,3841.0,IN0000235143,Manufacturing
APOLLO SINDOORI HOTELS LIMITED,5499.0,IN113688FI,Retail Trade
ARCVAC FORGE CAST PRIVATE LIMITED,3312.0,IN0001093156,Manufacturing
ARMSTRONG INTERNATIONAL PRIVATE LIMITED,3612.0,IN0001079495,Manufacturing
ARTEMIS MEDICARE SERVICES LIMITED,8062.0,IN116985FI,Services
ARTHMATE FINANCING INDIA PRIVATE LIMITED,2999.0,IN0010927145,Manufacturing
ASIATECH COATINGS PRIVATE LIMITED,7389.0,IN0014858647,Services
ASKA EQUIPMENTS PRIVATE LIMITED (TRANSFERED FROM MAHARASHTRA),3545.0,IN0010205782,Manufacturing
ASTRAL LIMITED,3089.0,IN33211FI,Manufacturing
AUMA INDIA PRIVATE LIMITED,7389.0,IN0001262622,Services
AURANGABAD DISTILLERY LIMITED,2869.0,IN117192FI,Manufacturing
AURIONPRO SOLUTIONS LIMITED,7379.0,IN31457FI,Services
AUTORIDERS INTERNATIONAL LIMITED,7514.0,IN31064FI,Services
AVANTEL LIMITED,4899.0,IN31071FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AXLES INDIA LIMITED,3339.0,IN0001378765,Manufacturing
BALAVIGNA WEAVING MILLS PRIVATE LIMITED,2281.0,IN0001413536,Manufacturing
BAYER PHARMACEUTICALS PRIVATE LIMITED,2834.0,IN0001534074,Manufacturing
BEAUTY CONCEPTS PRIVATE LIMITED,5199.0,IN0001544796,Wholesale Trade
BENARES HOTELS LIMITED,7011.0,IN30422FI,Services
BF UTILITIES LIMITED,4911.0,IN33070FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
BFN FORGINGS PRIVATE LIMITED,3499.0,IN0001550913,Manufacturing
BHARAT FORGE LIMITED,3463.0,IN30031FI,Manufacturing
BIHAR FOUNDRY & CASTINGS LIMITED,3312.0,IN0000239537,Manufacturing
BLACK DIAMOND MOTORS PRIVATE LIMITED,3711.0,IN0001832859,Manufacturing
BOSTON SCIENTIFIC TECHNOLOGY & ENGINEERING SERVICES PRIVATE LIMITED,8731.0,IN0014817679,Services
BRAND CONCEPTS LIMITED,3199.0,IN621244FI,Manufacturing
BROOKS BROTHERS INDIA PRIVATE LIMITED,7389.0,IN0003734397,Services
BSS MICROFINANCE LIMITED,7389.0,IN0001842356,Services
CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,6159.0,IN0000260179,"Finance, Insurance, and Real Estate"
CARYSIL LIMITED,3469.0,IN31030FI,Manufacturing
CELEBI NAS AIRPORT SERVICES INDIA PRIVATE LIMITED,4581.0,IN0001948625,"Transportation, Communications, Electric, Gas, and Sanitary Services"
