Name,SIC,BVD,Industry,Year,OM,RG
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2017,0.09044104292987944,-0.15959962324869414
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2018,0.09076137514103598,0.05891950807583357
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2019,0.09688708315356648,-0.22389616797545575
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2020,0.09469126894134612,0.25876737499818137
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2021,0.12226112732756422,0.5599177587565216
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2022,0.12614729137948333,0.44939229487446575
ABHITECH ENERGYCON LIMITED,8712.0,IN0000420982,Services,2023,0.17273688763848175,0.4004336238013346
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2017,0.13635244407707262,0.13860877642841007
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2018,0.10635024206599576,0.1820361957372778
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2019,0.0060601784909590775,-0.2541944258295279
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2020,0.00294894866136755,-0.039961735171010204
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2021,0.06389394311772381,0.3105007357252625
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2022,0.08245874813115389,0.15259953512660784
ABI-SHOWATECH (INDIA) PRIVATE LIMITED,3714.0,IN0000234815,Manufacturing,2023,0.08405841188398662,0.09505342943461459
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2017,0.4890829694323146,0.036747782970779186
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2018,-0.10679281901989325,2.1344453864173922
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2019,-0.5328151986183076,-0.9484455233857918
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2020,-3.3896648044692714,-0.3658682763504739
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2021,0.6748156771439655,2.4898490117952425
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2022,0.23844282238442827,0.7646453688326011
ADANI INFRASTRUCTURE AND DEVELOPERS PRIVATE LIMITED,1629.0,IN0000247169,Construction,2023,0.27858989424206865,3.253804053714436
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,0.06602686430007801,0.1072789874474036
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.09980726759081406,-0.3447090689661044
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.19861929140171633,0.17001556018267916
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2020,0.04232156012726194,-0.08796670587659972
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2021,0.12237879022204991,0.23947098506590825
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2022,0.14560943729310613,0.14820763287477767
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services",2023,0.10660516921682388,0.23689331608522024
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,-0.001661736623477997,0.07962666405393382
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.019794846148629745,0.0822913484040666
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.09653618297629307,-0.13353610030664886
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2020,0.26604046309699053,-0.2603164130333797
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2021,0.2393593838454015,0.24096380491705793
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2022,0.25400399840362214,0.19270508013745147
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services",2023,0.22488202161668458,0.0953167833805737
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,0.4386613768679855,0.02646774735473234
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.4807002446812915,0.18037596750803675
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.3703220349333201,-0.28480489181714574
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2020,0.3602171137306336,-0.08966412765439857
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2021,0.4871088782075266,0.4125697238738406
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2022,0.5567350059703225,0.33570369538501765
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services",2023,0.5785512538684855,0.06789485846359544
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,0.5301424478416885,0.3262352737284864
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.5255700450351976,-0.09385180944956173
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.5021506191833053,0.002881849550823601
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2020,0.4800252648620787,0.0812459855954486
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2021,0.4369961465833014,0.32855907715612487
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2022,0.4570768270186956,0.12122118289975736
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,4499.0,IN33528FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2023,0.4564031657153026,0.26823337303714956
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2017,0.09998210304724249,-0.07406280744592764
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2018,0.09305932694828144,0.3680665385514186
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2019,0.061007590641272334,-0.1700928389294788
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2020,0.06391041665480349,0.11502978391789509
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2021,0.10465441748572425,0.39931569955256196
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2022,0.08103659670671157,0.2592418341220861
ADEKA INDIA PRIVATE LIMITED,2879.0,IN0000505063,Manufacturing,2023,0.09005864427879058,0.20726954212758675
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2017,0.18288530465949865,0.022123713621470698
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2018,0.1947691050265632,0.030912346849916172
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2019,0.1790087463556853,-0.09968599631418829
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2020,0.06827222879260304,-0.20541109393348866
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2021,0.13345125786163492,0.5912702902328153
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2022,0.13934071127564876,0.5337700020221767
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services,2023,0.08778776152685779,0.1843104746849562
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2017,0.06496228902383674,0.040344763662260474
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2018,0.08701166432867655,0.05750699196361775
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2019,0.08494579129649156,-0.06323568281566838
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2020,0.05386012313416306,-0.1283386718531505
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2021,0.08126468638910656,0.4256029916234636
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2022,0.11053285990796402,0.08349318763156166
ADOR WELDING LIMITED,3548.0,IN30788FI,Manufacturing,2023,0.09676983528299116,0.12271591778394364
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2017,0.06075057996293884,0.190338367111214
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2018,0.03852179489047905,0.42153788729706565
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2019,0.03132807747118583,0.0028593248517112535
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2020,0.07969919830224723,-0.11636831178810336
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2021,0.13748623403483803,0.3966907605985115
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2022,0.15151966259358096,0.29870264697556803
ADROITEC INFORMATION SYSTEMS PRIVATE LIMITED,7389.0,IN0000482124,Services,2023,0.19062282848968426,0.24014778107522305
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2017,-0.11463545583271079,-0.0010097335573032717
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2018,0.00526939507934939,1.1122043448854475
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2019,0.014961714931069769,0.21542956800199486
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2020,0.02270575876719276,-0.10842143357267142
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2021,0.04169800867516784,0.4151229998974231
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2022,0.043167531292179685,0.4007708367030154
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade,2023,0.047748587423870725,0.19593986950324704
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2017,0.1837814507614758,-0.16478305510041868
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2018,0.24627643895539728,-0.380530911721628
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2019,0.32232427819408244,0.04397878514470799
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2020,0.27217128107071115,0.25294712413635345
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2021,0.2384183597238204,0.7289060364649869
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2022,0.23453580186326062,0.13413500584984095
AGI INFRA LIMITED,1541.0,IN114098FI,Construction,2023,0.24208368946057998,0.20743001114526516
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing,2017,0.0429647093976597,0.6823876440822205
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing,2018,0.044450252974317025,0.6464902583240879
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing,2019,0.08569507322546764,-0.08853640229243032
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing,2020,0.14137652404072373,0.00980226372561277
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing,2021,0.11947504553276066,0.3864326486637266
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing,2022,0.19037697699374803,0.28405164043759945
