BVD,Name,SIC,Industry,OM
IN0000021455,TATA SONS PRIVATE LIMITED,5813.0,Retail Trade,0.9554601850059017
IN0011616023,RAYIRTH HOLDING AND TRADING COMPANY PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.7436745603341919
IN0005745767,TRION PROPERTIES PRIVATE LIMITED,1629.0,Construction,0.716022630772451
IN0013513924,REMC LIMITED,7299.0,Services,0.7148198683053938
IN0002150928,CREDILA FINANCIAL SERVICES LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.6898654769782495
IN0000300145,PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.6619485313804152
IN0006878546,PPFAS ASSET MANAGEMENT PRIVATE LIMITED,6021.0,"Finance, Insurance, and Real Estate",0.6602644489836312
IN0008106312,OPC ASSET SOLUTIONS PRIVATE LIMITED,7375.0,Services,0.6498386326751705
IN0000299966,QUANT MONEY MANAGERS LIMITED,7389.0,Services,0.6289551862475936
IN30740FI,TIPS MUSIC LIMITED,3695.0,Manufacturing,0.6127713949463461
IN0010895023,M.V.R. INFRASTRUCTURE AND TOLLWAYS LIMITED,1629.0,Construction,0.57686774600899
IN0012433588,SUPREME HOUSING FINANCE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.5602926186951299
IN33070FI,BF UTILITIES LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5480151776037729
IN0000501773,ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.5407983793487782
IN115028FI,EMKAY TAPS AND CUTTING TOOLS LIMITED,3545.0,Manufacturing,0.5396195377836663
IN001577512IND,ANGEL ONE LIMITED,6211.0,"Finance, Insurance, and Real Estate",0.5344837781204456
IN0005324691,VIJAYA PRODUCTIONS PRIVATE LIMITED,7999.0,Services,0.5215519441867728
IN0004114665,JEFFERIES INDIA PRIVATE LIMITED,8742.0,Services,0.5209054121234548
IN0001842356,BSS MICROFINANCE LIMITED,7389.0,Services,0.5104781634708563
IN0014436737,HDFC CAPITAL ADVISORS LIMITED,7389.0,Services,0.5080385678060261
IN0000260179,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,6159.0,"Finance, Insurance, and Real Estate",0.5060660892812135
IN31935FI,GANESH HOUSING CORPORATION LIMITED,6531.0,"Finance, Insurance, and Real Estate",0.48023117681606137
