Name,SIC,BVD,Industry
20 MICRONS LTD,5052.0,IN33942FI,Wholesale Trade
A P SECURITAS PRIVATE LIMITED,3612.0,IN0009268652,Manufacturing
A R RAIL VIKAS SERVICES PRIVATE LIMITED,3694.0,IN0009270562,Manufacturing
A-ONE FOOTARTS PRIVATE LIMITED,3021.0,IN0009410844,Manufacturing
A-ONE FOOTWEARS PRIVATE LIMITED,3021.0,IN0009410882,Manufacturing
A2Z ONLINE SERVICES PRIVATE LIMITED,8742.0,IN0009245155,Services
AADINATH FLEXIPACK PRIVATE LIMITED,2711.0,IN0015449878,Manufacturing
AADITRI HOUSING PRIVATE LIMITED,1796.0,IN0016210084,Construction
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining
AAKRITI SUGAR MILLS PRIVATE LIMITED,2061.0,IN0007549884,Manufacturing
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate"
AARTHI SCANS PRIVATE LIMITED,8099.0,IN0000619358,Services
AARTI DRUGS LTD,2834.0,IN30904FI,Manufacturing
AAYUKART PRIVATE LIMITED,5085.0,IN0015985148,Wholesale Trade
ABAD EXPORTS PVT LTD,5085.0,IN0000556373,Wholesale Trade
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade
ABBOTT INDIA LIMITED,2834.0,IN30426FI,Manufacturing
ABCI INFRASTRUCTURES PRIVATE LIMITED,1794.0,IN0000551981,Construction
ABHI ENGINEERING CORPORATION PRIVATE LIMITED,1629.0,IN0013777402,Construction
ABHISHEK PROPBUILD PRIVATE LIMITED,6512.0,IN0016873288,"Finance, Insurance, and Real Estate"
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade
ABR LOGISTICS PRIVATE LIMITED,4212.0,IN0001195527,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ACC LIMITED,3241.0,IN30061FI,Manufacturing
ACCENT MICROCELL LIMITED,2869.0,IN511568FI,Manufacturing
ACCOLADE ELECTRONICS PRIVATE LIMITED,3612.0,IN0000422146,Manufacturing
ACCURATE FINMAN SERVICES LIMITED,7389.0,IN0000426609,Services
ACSEN AGRISCIENCE PRIVATE LIMITED,751.0,IN0013019598,Services
ADAMAS BUILDERS PRIVATE LIMITED,1623.0,IN0009512771,Construction
ADANI ENERGY SOLUTIONS LIMITED,4931.0,IN114777FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI HAZIRA PORT LIMITED,1799.0,IN0000362346,Construction
ADANI TRACKS MANAGEMENT SERVICES LIMITED,4131.0,IN0013216065,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADD-SHOP E-RETAIL LIMITED,7389.0,IN538380FI,Services
ADEPT MINING PRIVATE LIMITED,4911.0,IN0003172395,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADF FOODS LIMITED,2099.0,IN31049FI,Manufacturing
ADISHAKTI COMMERCIAL PRIVATE LIMITED,6019.0,IN0012107002,"Finance, Insurance, and Real Estate"
ADITYA CONSUMER MARKETING LIMITED,5141.0,IN117177FI,Wholesale Trade
ADITYA MUSIC (INDIA) PRIVATE LIMITED,3669.0,IN0000462268,Manufacturing
ADLER INDUSTRIAL SERVICES PRIVATE LIMITED,7389.0,IN0015284501,Services
ADMITAD MEDIA PRIVATE LIMITED,8742.0,IN0015283173,Services
ADVANCE AGROLIFE PRIVATE LIMITED,2873.0,IN0000519581,Manufacturing
ADVANCED BUSINESS & HEALTHCARE SOLUTIONS INDIA PRIVATE LIMITED,7375.0,IN0000519441,Services
ADVENT CHEMBIO PRIVATE LIMITED,2834.0,IN0013820192,Manufacturing
