Name,SIC,BVD,Industry,Year,OM,RG
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2017,0.06748036263179508,0.3573396614195612
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2018,0.18262331602604817,0.19664386032125036
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2019,0.08534994281834307,-0.05678028766488519
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2020,0.04121383783965284,0.7328441874908262
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2021,0.08724564581074579,0.45189723278841387
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2022,0.12850437667052184,-0.033311268864773425
AAKAR FOUNDRY PRIVATE LIMITED,3321.0,IN0000557183,Manufacturing,2023,0.1482818796181388,0.1321739057494553
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2017,0.10637035662669435,0.21580089827438442
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2018,0.07495669843727325,0.18621803759852895
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2019,0.14184906660899807,0.19882742978209622
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2020,0.11597037234975319,-0.09039865690686755
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2021,0.12091662982845298,0.24917534112023842
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2022,0.07052687783488736,0.10811391626522515
AAKASH EXPLORATION SERVICES LIMITED,1381.0,IN508884FI,Mining,2023,0.10464890731551897,-0.018393733134562384
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2017,0.27108249003373125,0.8124880236507006
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2018,0.16396658650803742,1.2783121433379678
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2019,0.08620499834856327,19.56921313815144
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2020,0.05663226125029852,6.223438623469093
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2021,0.05983601918230271,0.6342607999880083
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2022,0.030531850502690555,-0.12985775666621324
AARNAV FASHIONS LIMITED,6099.0,IN117363FI,"Finance, Insurance, and Real Estate",2023,0.05533460233886804,-0.11347811756618065
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2017,0.06438941008971212,0.35253311876672444
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2018,0.08334424276896099,0.21489346189104452
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2019,0.06993986553925814,0.4978199128614038
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2020,0.033591514184118626,-0.5023669995642267
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2021,0.052352367152615556,-0.10172649985013005
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2022,0.02348788604049622,-0.08676873156721587
ABAD OVERSEAS PRIVATE LIMITED,5085.0,IN0000558271,Wholesale Trade,2023,0.03456719493175372,0.2491580328862495
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2017,0.06880120664779177,0.2085273704276529
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2018,0.04356984425273349,0.17675172261189154
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2019,0.0463831056569178,0.18742998340080397
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2020,0.13232328029493656,0.584237712802905
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2021,0.0762017845655204,0.2596138658728224
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2022,0.035797055890870434,0.07679429422848671
ABIS EXPORTS (INDIA) PRIVATE LIMITED,5199.0,IN0000576879,Wholesale Trade,2023,0.08012430080914112,0.1378090361738178
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2017,0.04821806411483902,0.47026960869902856
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2018,0.034442549494572164,0.8836630688248521
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2019,0.03554714239040268,0.9292338041526083
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2020,0.0290681400521895,0.3717230222935459
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2021,0.03502338574500806,0.5150029131365514
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2022,0.037311558469798396,0.4227052377651992
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade,2023,0.0358243467098202,0.4208680138191292
ACCENT MICROCELL LIMITED,2869.0,IN511568FI,Manufacturing,2017,0.0821382487725376,0.3276466235253932
ACCENT MICROCELL LIMITED,2869.0,IN511568FI,Manufacturing,2018,0.06515207593999675,0.14817281008594207
ACCENT MICROCELL LIMITED,2869.0,IN511568FI,Manufacturing,2019,0.06878482680026335,0.0382883572216246
