,BVD,Name,SIC,Industry,RG
316,IN0015507213,BONZA VITRIFIED PRIVATE LIMITED,3251.0,Manufacturing,282.8343179502294
308,IN0015217698,MADHEPURA ELECTRIC LOCOMOTIVE PRIVATE LIMITED,3799.0,Manufacturing,278.6858668675977
226,IN0010462566,ASIAN THAI FOODS INDIA PRIVATE LIMITED,2051.0,Manufacturing,273.43180624910536
107,IN0003723003,IMPERIAL DYEING LIMITED,2211.0,Manufacturing,174.50653692156232
211,IN0009617719,UNIQUE FARMESTATE PRIVATE LIMITED,1629.0,Construction,149.36946358510062
19,IN0000317055,KOTAK INFRASTRUCTURE DEBT FUND LIMITED,6141.0,"Finance, Insurance, and Real Estate",145.88925586839733
310,IN0015257248,NATIONAL INVESTMENT AND INFRASTRUCTURE FUND LIMITED,7389.0,Services,119.4382486904661
297,IN0014384021,ARAVALI TECHNICAL SERVICES PRIVATE LIMITED,7389.0,Services,107.7217442878078
255,IN001202134IND,CAMPUS ACTIVEWEAR LIMITED,3149.0,Manufacturing,83.18330505724357
180,IN0007688579,MY HOME INFRASTRUCTURES PRIVATE LIMITED,1629.0,Construction,57.67936875569168
327,IN0016402638,INFINITY FINCORP SOLUTIONS PRIVATE LIMITED,6159.0,"Finance, Insurance, and Real Estate",46.31192336039217
312,IN0015357759,DHANANJAY AUTO CRAFT PRIVATE LIMITED,3799.0,Manufacturing,9.811929405682895
346,IN117363FI,AARNAV FASHIONS LIMITED,6099.0,"Finance, Insurance, and Real Estate",7.220004435046703
261,IN0012403293,POWERGRID WARORA TRANSMISSION LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",6.554708925856278
225,IN0010441556,G.M. EXIM PRIVATE LIMITED,5162.0,Wholesale Trade,4.453555464390462
326,IN0016213742,SAVE MICROFINANCE PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",4.220118840398816
315,IN0015470454,ALPINE SPINWEAVE PRIVATE LIMITED,2269.0,Manufacturing,4.179984526821808
307,IN0015212893,CFM ASSET RECONSTRUCTION PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",3.4554353415236307
46,IN0001449665,FORTITUDE STAINLESS PRIVATE LIMITED,8111.0,Services,3.1860217435069025
269,IN0012771807,SHEKHAWATI GEOTECH PRIVATE LIMITED,2269.0,Manufacturing,2.83434788401675
127,IN0005053887,TATA COMMUNICATIONS COLLABORATION SERVICES PRIVATE LIMITED,7375.0,Services,2.707680283777235
20,IN0000383584,SIKKIM POWER TRANSMISSION LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",2.5399064740869854
314,IN0015441306,DIAGEO BUSINESS SERVICES INDIA PRIVATE LIMITED,7389.0,Services,2.311736927989526
294,IN0014361151,RENEW SAUR URJA PRIVATE LIMITED,4939.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",2.1747040228017798
379,IN31466FI,GUJARAT STATE PETRONET LIMITED,4924.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",2.1526754246101985
