Name,SIC,BVD,Industry
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI HARBOUR SERVICES LIMITED,4412.0,IN0000378878,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AFFLE (INDIA) LTD,7319.0,IN001037176IND,Services
AFFORDABLE ROBOTIC & AUTOMATION LIMITED,3711.0,IN897186FI,Manufacturing
AKRY ORGANICS PVT LTD,2869.0,IN0001060236,Manufacturing
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services
AVENUE SUPERMARTS LIMITED,5999.0,IN001576308IND,Retail Trade
BETA DRUGS LIMITED,2834.0,IN117718FI,Manufacturing
BITZER INDIA PRIVATE LIMITED,7389.0,IN0001689983,Services
CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,IN0001890652,Wholesale Trade
CANTABIL RETAIL INDIA LIMITED,2399.0,IN34666FI,Manufacturing
CARL ZEISS INDIA (BANGALORE) PRIVATE LIMITED,3812.0,IN0001920959,Manufacturing
CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,IN0001994123,Manufacturing
COHNREZNICK PROFESSIONAL SERVICES PRIVATE LIMITED,7374.0,IN0006617014,Services
CONVERGINT INDIA PRIVATE LIMITED,3669.0,IN0000399919,Manufacturing
CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,IN0010258883,"Transportation, Communications, Electric, Gas, and Sanitary Services"
DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,IN0002383728,Construction
DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,IN0016583947,Manufacturing
DREAMFOLKS SERVICES LIMITED,5085.0,IN001244972IND,Wholesale Trade
EQUIFAX CREDIT INFORMATION SERVICES PRIVATE LIMITED,7374.0,IN0002582748,Services
EXPERT GLOBAL SOLUTIONS PRIVATE LIMITED,7375.0,IN0002715871,Services
FIRSTRAND SERVICES PRIVATE LIMITED,7371.0,IN0014544156,Services
FLEXIBLE STEEL LACING COMPANY PRIVATE LIMITED,8712.0,IN0002884949,Services
FOSROC CHEMICALS (INDIA) PRIVATE LIMITED,2813.0,IN0002929409,Manufacturing
FUJI SILVERTECH CONCRETE PRIVATE LIMITED,3272.0,IN0014381987,Manufacturing
G.G AUTOMOTIVE GEARS LIMITED,5013.0,IN35895FI,Wholesale Trade
GENESIS LA MODE PRIVATE LIMITED,5199.0,IN0003117973,Wholesale Trade
GEP SOLUTIONS PRIVATE LIMITED,7375.0,IN0003135598,Services
GLOBETROTTERS EDUCATIONAL INNOVENTIONS PRIVATE LIMITED,8299.0,IN0003197626,Services
GML INDIA FASHION PRIVATE LIMITED,5131.0,IN0013012997,Wholesale Trade
GMM PFAUDLER LIMITED,3569.0,IN31937FI,Manufacturing
GOODLUCK INDIA LTD.,3317.0,IN33307FI,Manufacturing
ICE MT INDIA PRIVATE LIMITED,7375.0,IN0005444635,Services
IGUS (INDIA) PRIVATE LIMITED,3567.0,IN0003702166,Manufacturing
INTEGRA ENGINEERING (INDIA) LTD,3559.0,IN33983FI,Manufacturing
INTERGLOBE TECHNOLOGY QUOTIENT PRIVATE LIMITED,7389.0,IN0003893143,Services
INVESTEC CAPITAL SERVICES (INDIA) PRIVATE LIMITED,6019.0,IN0003909984,"Finance, Insurance, and Real Estate"
JEWELLERY GARDEN PRIVATE LIMITED,3312.0,IN0004121041,Manufacturing
KEI INDUSTRIES LIMITED,3357.0,IN30982FI,Manufacturing
KINGFA SCIENCE & TECHNOLOGY (INDIA) LTD.,3087.0,IN31297FI,Manufacturing
KPMG RESOURCE CENTRE PRIVATE LIMITED,8742.0,IN0004698613,Services
KRONOS SOLUTIONS INDIA PRIVATE LIMITED,3571.0,IN0004753014,Manufacturing
MARELLI MOTHERSON AUTOMOTIVE LIGHTING INDIA PRIVATE LIMITED,3694.0,IN0009236639,Manufacturing
MASHREQ GLOBAL SERVICES PRIVATE LIMITED,7371.0,IN0010067272,Services
NARAYANA HRUDAYALAYA LIMITED,5047.0,IN117411FI,Wholesale Trade
NNE PRIVATE LIMITED,5085.0,IN0007429914,Wholesale Trade
NXP INDIA PRIVATE LIMITED,7375.0,IN0002947248,Services
P.P. JEWELLERS RETAIL PRIVATE LIMITED,5944.0,IN0014891199,Retail Trade
PARMESHWARI SILK MILLS LTD,2299.0,IN117606FI,Manufacturing
PRICEWATERHOUSECOOPERS SERVICE DELIVERY CENTER (BANGALORE) PRIVATE LIMITED,7375.0,IN0012980761,Services
RACL GEARTECH LTD,7549.0,IN31980FI,Services
RECAERO INDIA PRIVATE LIMITED,3511.0,IN0006528987,Manufacturing
