Name,SIC,BVD,Industry,Year,OM,RG
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,0.2864357814623083,0.1261757610162319
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.2119136471948475,0.2674425797645894
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.2583132735095075,0.1922099989487931
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2020,0.3147791977893688,-0.1821164329036316
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2021,0.2699902660910655,0.6647580720951138
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2022,0.1191450760846399,0.6263969390003108
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services",2023,0.1511457713030229,0.1301032067342493
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2017,0.2528941640530022,0.3086552279731913
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2018,0.2757717379527055,0.4277556004809615
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2019,0.2178432677197997,0.0660044776156736
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2020,0.1836590579433543,0.0867786745909267
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2021,0.2279369908236158,0.393017042573683
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2022,0.2603492028384009,0.4454154816282503
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services,2023,0.2033818923269122,0.1481886754110168
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2017,0.2154657151510427,1.987108373506658
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2018,0.2349907270841316,0.2997984775323921
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,"Transportation, Communications, Electric, Gas, and Sanitary Services",2019,0.4179396788092433,0.1241025166584475
