BVD,Name,SIC,Industry,OM,RG
IN0000378878,ADANI HARBOUR SERVICES LIMITED,4412.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.8397551348459391,4.982659378867889
IN0016129782,UC INCLUSIVE CREDIT PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.6301193804732035,2.7992398481316276
IN0002383728,DEWAS BHOPAL CORRIDOR PRIVATE LIMITED,1611.0,Construction,0.5934281400614897,0.09725439557141606
IN0008921901,TATA POWER RENEWABLE ENERGY LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.47259483137208097,0.44235366357454814
IN999003FI,ADANI GREEN ENERGY LIMITED,4931.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.4447268671249759,0.5514570629429624
IN0003893143,INTERGLOBE TECHNOLOGY QUOTIENT PRIVATE LIMITED,7389.0,Services,0.3065121655155491,0.320477221871769
IN0006201883,SOLAS MARINE SERVICES PRIVATE LIMITED,7699.0,Services,0.26559860363887505,0.2685833931597784
IN0010258883,CONVONIX SYSTEMS PRIVATE LIMITED,4899.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.25545244569844344,0.29727558920392433
IN0003909984,INVESTEC CAPITAL SERVICES (INDIA) PRIVATE LIMITED,6019.0,"Finance, Insurance, and Real Estate",0.24678174167797276,0.3330232073895517
IN0009230891,V 2 TECH VENTURES PRIVATE LIMITED,7389.0,Services,0.23891904831637203,0.18272820907182658
IN0000416362,ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,Services,0.231690901951113,0.2679735971819576
IN0000406739,AAVANTIKA GAS LIMITED,4922.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.23024614477639438,0.260710017807951
IN0000399919,CONVERGINT INDIA PRIVATE LIMITED,3669.0,Manufacturing,0.22550008454357012,0.2910770227612726
IN0005712638,TRELLEBORG INDIA PRIVATE LIMITED,3069.0,Manufacturing,0.2197870502530221,0.18079442036149565
IN0003197626,GLOBETROTTERS EDUCATIONAL INNOVENTIONS PRIVATE LIMITED,8299.0,Services,0.21760303171412176,0.12479118905172645
IN0006638753,RIELLO POWER INDIA PRIVATE LIMITED,4911.0,"Transportation, Communications, Electric, Gas, and Sanitary Services",0.20921520271611604,0.13218278470024114
IN0002884949,FLEXIBLE STEEL LACING COMPANY PRIVATE LIMITED,8712.0,Services,0.2091939925874037,0.25871287281767247
IN001037176IND,AFFLE (INDIA) LTD,7319.0,Services,0.20154452848068177,0.6246722201494047
IN0013530276,SIDWAL REFRIGERATION INDUSTRIES PRIVATE LIMITED,3564.0,Manufacturing,0.2013872303009204,0.23179707819904
IN0001890652,CAMBRO NILKAMAL PRIVATE LIMITED,5199.0,Wholesale Trade,0.19964705403175448,0.23862149143391795
IN0001994123,CHAMUNDI DIE CAST PRIVATE LIMITED,3331.0,Manufacturing,0.1984037411424018,0.24756612978182208
IN0002715871,EXPERT GLOBAL SOLUTIONS PRIVATE LIMITED,7375.0,Services,0.1889669647010716,0.2225636437726589
IN0005751143,TRIPURA NATURAL GAS CO LTD,2999.0,Manufacturing,0.18824455932778597,0.18619010645323925
IN0001689983,BITZER INDIA PRIVATE LIMITED,7389.0,Services,0.18461620713051038,0.18018337585497093
IN0004698613,KPMG RESOURCE CENTRE PRIVATE LIMITED,8742.0,Services,0.18241183527748575,0.23599865129367356
IN0002582748,EQUIFAX CREDIT INFORMATION SERVICES PRIVATE LIMITED,7374.0,Services,0.17864980082007786,0.24963017487829436
IN0005725289,TRESVISTA FINANCIAL SERVICES PRIVATE LIMITED,8742.0,Services,0.17760720079455283,0.19040365877434753
IN0012980761,PRICEWATERHOUSECOOPERS SERVICE DELIVERY CENTER (BANGALORE) PRIVATE LIMITED,7375.0,Services,0.1722113961035014,0.29229850488566333
IN0016583947,DOWELLS CABLE ACCESSORIES PRIVATE LIMITED,3462.0,Manufacturing,0.17025964712166486,0.5216903924977779
IN117718FI,BETA DRUGS LIMITED,2834.0,Manufacturing,0.16807267971887233,0.2822006963082535
IN0005444635,ICE MT INDIA PRIVATE LIMITED,7375.0,Services,0.16689292636228012,0.4586537483150076
IN0003135598,GEP SOLUTIONS PRIVATE LIMITED,7375.0,Services,0.1600238214925107,0.155756120308457
IN0011045441,SAR HEALTH LINE PRIVATE LIMITED,8062.0,Services,0.1597924457276945,0.14429787083946907
IN0001060236,AKRY ORGANICS PVT LTD,2869.0,Manufacturing,0.1583429350333207,0.25354778986874443
IN0015595493,TEKION INDIA PRIVATE LIMITED,7378.0,Services,0.15452446644020257,0.9914805078190678
