Name,SIC,BVD,Industry
20CUBE LOGISTICS SOLUTIONS PRIVATE LIMITED,7389.0,IN0009503939,Services
A P I ISPAT AND POWERTECH PRIVATE LIMITED,3312.0,IN0009267861,Manufacturing
A R ELECTRO POWER PRIVATE LIMITED,3679.0,IN0009269374,Manufacturing
A S SHOE ACCESSORIES PRIVATE LIMITED,7389.0,IN0009477494,Services
A. K. TRADING (PAPER) PRIVATE LIMITED,5999.0,IN0009415877,Retail Trade
A.K. SPINTEX LIMITED,2299.0,IN117441FI,Manufacturing
A.R.GOLD PRIVATE LIMITED,3911.0,IN0009436887,Manufacturing
AAA VEHICLEADES PRIVATE LIMITED,5012.0,IN0001197788,Wholesale Trade
AAISWARYA DYEING MILLS PRIVATE LIMITED,2281.0,IN0000546736,Manufacturing
AARTI JEWELLERS PRIVATE LIMITED,3911.0,IN0001198997,Manufacturing
ABHITECH ENERGYCON LIMITED,8711.0,IN0000420982,Services
ABILITIES INDIA PISTONS AND RINGS LIMITED,3561.0,IN0000285211,Manufacturing
ABSOLUTE SPORTS PRIVATE LIMITED,7999.0,IN0000436709,Services
ACCEL LIMITED,7812.0,IN31450FI,Services
ACCION TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0006533154,Services
ACCURATE INDUSTRIAL CONTROLS PRIVATE LIMITED,3612.0,IN0000423229,Manufacturing
ACE MICA PRIVATE LIMITED,3999.0,IN0014329544,Manufacturing
ACME CHEM LTD,2819.0,IN0000438904,Manufacturing
ACP TOLLWAYS PRIVATE LIMITED,1799.0,IN0007741161,Construction
ACS GLOBAL TECH SOLUTIONS PRIVATE LIMITED,7371.0,IN0000451408,Services
ACTION CONSTRUCTION EQUIPMENT LIMITED,3531.0,IN33676FI,Manufacturing
ACTIVE CHROMEWELL EXHAUST PRIVATE LIMITED,3711.0,IN0014153598,Manufacturing
ACTIVE CLOTHING CO LIMITED,2389.0,IN621267FI,Manufacturing
ACTIVE INFRASTRUCTURES PRIVATE LIMITED,1629.0,IN0000446624,Construction
AD HYDRO POWER LIMITED,4911.0,IN0000363002,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI LOGISTICS LIMITED,4789.0,IN0000257167,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI LOGISTICS SERVICES LIMITED,4131.0,IN0000242725,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI PETRONET (DAHEJ) PORT LIMITED,4491.0,IN0000501773,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI TOTAL GAS LIMITED,4923.0,IN116360FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADARSH RENT-A-CAR PRIVATE LIMITED,4724.0,IN0000478715,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADIDAS INDIA MARKETING PRIVATE LIMITED,7389.0,IN0000228057,Services
ADIDAS INDIA PRIVATE LIMITED,3021.0,IN0000495409,Manufacturing
ADITYA FINDINGS PRIVATE LIMITED,5999.0,IN0001790414,Retail Trade
ADITYA INFOTECH LIMITED,7382.0,IN0000468342,Services
ADITYA MARINE LIMITED,4789.0,IN0000461147,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADVAIT INFRATECH LIMITED,1629.0,IN0072335606,Construction
ADVANI HOTELS & RESORTS (INDIA) LIMITED,7011.0,IN31108FI,Services
ADVENT OILFIELD SERVICES PRIVATE LIMITED,1311.0,IN0013916598,Mining
ADWAITH LAKSHMI INDUSTRIES PRIVATE LIMITED,3312.0,IN0000523016,Manufacturing
ADYAR GATE HOTELS LIMITED,7021.0,IN0000242307,Services
AERIES FINANCIALTECHNOLOGIES PRIVATE LIMITED,8721.0,IN0017067757,Services
AETAS RETAIL PRIVATE LIMITED,5999.0,IN0014705657,Retail Trade
AFFORDABLE ROBOTIC & AUTOMATION LIMITED,3711.0,IN897186FI,Manufacturing
AGARWAL COAL CORPORATION PRIVATE LIMITED,2999.0,IN0000614859,Manufacturing
AGARWAL MARKETING & SERVICES (ENERGY) PRIVATE LIMITED,5085.0,IN0007751377,Wholesale Trade
AGARWAL PACKERS AND MOVERS LIMITED,4789.0,IN0000625337,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AGRASEN SPONGE PRIVATE LIMITED,3312.0,IN0000620152,Manufacturing
AGRAWAL INFRABUILD PRIVATE LIMITED,1611.0,IN0000624292,Construction
AGREEYA SOLUTIONS (INDIA) PRIVATE LIMITED,7374.0,IN0000628444,Services
AGS FOURWINDS INDIA PRIVATE LIMITED,4212.0,IN0000612427,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AGS HEALTH PRIVATE LIMITED,7371.0,IN0000458743,Services
AHIR SALT AND ALLIED PRODUCTS PRIVATE LIMITED,1474.0,IN0000577072,Mining
AHMEDABAD - MALIYA TOLLWAY LIMITED,1611.0,IN0000336241,Construction
AIA ENGINEERING LIMITED,8711.0,IN31126FI,Services
AIFSO TECHNOLOGIES PRIVATE LIMITED,5085.0,IN0005581976,Wholesale Trade
AIR CONTROL AND CHEMICAL ENGINEERING COMPANY LIMITED,3612.0,IN0000281296,Manufacturing
AKAR AUTO INDUSTRIES LIMITED,5013.0,IN31135FI,Wholesale Trade
AKP HOLDINGS PRIVATE LIMITED,7389.0,IN0014875517,Services
AKSHARA INDUSTRIES PRIVATE LIMITED,3312.0,IN0000689023,Manufacturing
ALAKNANDA BALMUKUND ISPAT PRIVATE LIMITED,3312.0,IN0000699764,Manufacturing
ALBONAIR (INDIA) PRIVATE LIMITED,3711.0,IN0000660547,Manufacturing
ALCON LABORATORIES (INDIA) PRIVATE LIMITED,3841.0,IN0000021353,Manufacturing
ALCON RESORT HOLDINGS PRIVATE LIMITED,6531.0,IN0000739428,"Finance, Insurance, and Real Estate"
ALICON CASTALLOY LIMITED,3363.0,IN31608FI,Manufacturing
ALLIANCE BUSINESS SCHOOL,8221.0,IN0001492177,Services
ALLIANCE INFRASTRUCTURE PROJECTS PRIVATE LIMITED,6512.0,IN0001208492,"Finance, Insurance, and Real Estate"
ALLIED DIGITAL SERVICES LTD,5045.0,IN33192FI,Wholesale Trade
ALLIED ENGINEERING WORKS PRIVATE LIMITED,3694.0,IN0001295402,Manufacturing
ALLISON TRANSMISSION INDIA PRIVATE LIMITED,4911.0,IN0008968225,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ALLWEILER INDIA PRIVATE LIMITED,3569.0,IN0005811819,Manufacturing
ALP AEROFLEX INDIA PRIVATE LIMITED,8742.0,IN0000750234,Services
ALPHATEC AUDIO VIDEO PRIVATE LIMITED,5085.0,IN0014821815,Wholesale Trade
ALPINE DISTILLERIES PRIVATE LIMITED,5085.0,IN0000704703,Wholesale Trade
ALPINE POLYRUB PRIVATE LIMITED,5131.0,IN0000749756,Wholesale Trade
ALTIMETRIK INDIA PRIVATE LIMITED,7371.0,IN0008964467,Services
ALUDECOR LAMINATION PRIVATE LIMITED,1041.0,IN0000748478,Mining
AMADEUS SOFTWARE LABS INDIA PRIVATE LIMITED,7371.0,IN0012857028,Services
AMALGAMATIONS VALEO CLUTCH PRIVATE LIMITED,3562.0,IN0000234402,Manufacturing
AMAR INFRASTRUCTURE LIMITED,1629.0,IN0000813604,Construction
AMBIENCE HOTELS & RESORTS PRIVATE LIMITED,7389.0,IN0000287401,Services
AMBUJ HOTEL AND REAL ESTATE PRIVATE LIMITED,7021.0,IN0000787223,Services
AMBUJA NEOTIA HOTEL VENTURES LIMITED,7021.0,IN0000267977,Services
