Name,SIC,BVD,Industry
360 DEGREE CLOUD TECHNOLOGIES PRIVATE LIMITED,7375.0,IN0002117571,Services
AADHAR HOUSING FINANCE LIMITED,6411.0,IN0002459303,"Finance, Insurance, and Real Estate"
AAREEN HEALTHCARE PRIVATE LIMITED,2819.0,IN0001055706,Manufacturing
AAVANTIKA GAS LIMITED,4922.0,IN0000406739,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AAYUSH SPINTEX PRIVATE LIMITED,2257.0,IN0001049036,Manufacturing
ABHI AGRO PRIVATE LIMITED,191.0,IN0000602833,Unknown
ABSOLUTE DISTRIBUTION SOLUTIONS PRIVATE LIMITED,5085.0,IN0014500276,Wholesale Trade
ACCESS HEALTHCARE SERVICES PRIVATE LIMITED,8711.0,IN0000416362,Services
ACCESS WAREHOUSING PRIVATE LIMITED,4789.0,IN0013552248,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ACHAL JEWELS PRIVATE LIMITED,3911.0,IN0008632021,Manufacturing
ADAGE AUTOMATION PRIVATE LIMITED,7389.0,IN0000489402,Services
ADANI GREEN ENERGY LIMITED,4931.0,IN999003FI,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADANI HARBOUR SERVICES LIMITED,4412.0,IN0000378878,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ADN FIRE SAFETY PRIVATE LIMITED,8721.0,IN0014755169,Services
ADOBE SYSTEMS INDIA PRIVATE LIMITED,7371.0,IN0000454501,Services
AEGIS GAS (LPG) PRIVATE LIMITED,2999.0,IN0000513557,Manufacturing
AFFLE (INDIA) LTD,7319.0,IN001037176IND,Services
AGNI FIBER BOARDS PRIVATE LIMITED,3679.0,IN0000597875,Manufacturing
AGRICOM FOODS PRIVATE LIMITED,2099.0,IN0000599201,Manufacturing
AIRBUS INDIA PRIVATE LIMITED,7389.0,IN0000644226,Services
AKRY ORGANICS PVT LTD,2819.0,IN0001060236,Manufacturing
ALGOWORKS TECHNOLOGIES PRIVATE LIMITED,7371.0,IN0000781242,Services
ALLEGION INDIA PRIVATE LIMITED,8721.0,IN0012153694,Services
ALLIANCE BUSINESS PARKS PRIVATE LIMITED,1629.0,IN0000752388,Construction
ALPHA-ELSEC DEFENCE & AEROSPACE SYSTEMS PRIVATE LIMITED,3694.0,IN0000710252,Manufacturing
ALTEN CALSOFT LABS (INDIA) PRIVATE LIMITED,7371.0,IN0001887381,Services
ALUFLUORIDE LIMITED,3355.0,IN31219FI,Manufacturing
AMAZON DATA SERVICES INDIA PRIVATE LIMITED,7374.0,IN0015803827,Services
AMD INDIA PRIVATE LIMITED,7371.0,IN0000023849,Services
AMRIT BOTTLERS PVT LTD,139.0,IN0000854282,Mining
ANIXTER INDIA PRIVATE LIMITED,3672.0,IN0001306098,Manufacturing
ANSR GLOBAL CORPORATION PRIVATE LIMITED,7389.0,IN0012405222,Services
ANTONY ROAD TRANSPORT SOLUTIONS PRIVATE LIMITED,4212.0,IN0001215972,"Transportation, Communications, Electric, Gas, and Sanitary Services"
ANUSANDHAN COMMOTRADE PVT.LTD,5199.0,IN0000964024,Wholesale Trade
APTIV COMPONENTS INDIA PRIVATE LIMITED,7389.0,IN0000967159,Services
AQUAGRI PROCESSING PRIVATE LIMITED,219.0,IN0001016636,Manufacturing
ARISE INVESTMENTS AND CAPITAL PRIVATE LIMITED,6111.0,IN0000340063,"Finance, Insurance, and Real Estate"
ARUN VASTRA BHANDAR PRIVATE LIMITED,2269.0,IN0001137851,Manufacturing
ASIAN FOOTWEARS PRIVATE LIMITED,3021.0,IN0001232146,Manufacturing
ASK AGENCIES AND INVESTMENTS PRIVATE LIMITED,5085.0,IN0010202915,Wholesale Trade
ATHENA CARS & TOURS PRIVATE LIMITED,4724.0,IN0001193862,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AVAADA VENTURES PRIVATE LIMITED,4911.0,IN0012154359,"Transportation, Communications, Electric, Gas, and Sanitary Services"
AVADH RAIL INFRA LIMITED,3069.0,IN0000255129,Manufacturing
